year,stage,n_raw,n_after_stage,share_of_raw,dropped_at_stage,drop_rate_from_prev
2018,underlying,779015,779015,1.0,0,0.0
2018,date_exdate_ok,779015,779015,1.0,0,0.0
2018,cp_ok,779015,779015,1.0,0,0.0
2018,spot_ok,779015,779015,1.0,0,0.0
2018,dte_window,779015,356190,0.45723124715185204,422825,0.542768752848148
2018,bid_positive,779015,336405,0.43183379010673734,19785,0.055546197254274406
2018,offer_gt_bid,779015,336405,0.43183379010673734,0,0.0
2018,mid_gt_min,779015,317242,0.40723477725075896,19163,0.05696407603929787
2018,forward_ok,779015,317242,0.40723477725075896,0,0.0
2018,k_window,779015,169563,0.21766333125806306,147679,0.46550898052590767
2018,iv_positive,779015,154579,0.19842878506832345,14984,0.08836833507309967
2018,spread_ok,779015,152656,0.19596028317811595,1923,0.012440240912413717
2018,activity_ok,779015,132315,0.1698491043176319,20341,0.13324730112147573
2019,underlying,810376,810376,1.0,0,0.0
2019,date_exdate_ok,810376,810376,1.0,0,0.0
2019,cp_ok,810376,810376,1.0,0,0.0
2019,spot_ok,810376,810376,1.0,0,0.0
2019,dte_window,810376,374154,0.46170419657048084,436222,0.5382958034295191
2019,bid_positive,810376,351392,0.4336160004738541,22762,0.06083591248523335
2019,offer_gt_bid,810376,351390,0.43361353248368656,2,5.691649212275749e-06
2019,mid_gt_min,810376,329510,0.4066137200509393,21880,0.06226699678419989
2019,forward_ok,810376,329510,0.4066137200509393,0,0.0
2019,k_window,810376,183134,0.22598645566996062,146376,0.4442232405693302
2019,iv_positive,810376,167994,0.20730377010177992,15140,0.08267170487184247
2019,spread_ok,810376,167791,0.2070532690997759,203,0.0012083764896365346
2019,activity_ok,810376,141540,0.174659664155898,26251,0.15645058435792147
2020,underlying,1494672,1494672,1.0,0,0.0
2020,date_exdate_ok,1494672,1494672,1.0,0,0.0
2020,cp_ok,1494672,1494672,1.0,0,0.0
2020,spot_ok,1494672,1494672,1.0,0,0.0
2020,dte_window,1494672,565208,0.37814851686523865,929464,0.6218514831347614
