year,book_type,marking_mode,build_ok,mark_ok,reason,n
2018,atm_straddle_30d,robust_all,1,1,success,251
2018,atm_straddle_30d,strict_exact_contract,1,1,success,166
2018,atm_straddle_30d,strict_exact_contract,1,0,missing_after_exact_contract,85
2018,risk_reversal_25d_30d,robust_all,1,1,success,251
2018,risk_reversal_25d_30d,strict_exact_contract,1,1,success,250
2018,risk_reversal_25d_30d,strict_exact_contract,1,0,missing_after_exact_contract,1
2018,short_put_spread_25delta_10delta_30d,robust_all,1,1,success,250
2018,short_put_spread_25delta_10delta_30d,robust_all,0,0,build_standard_book_failed,1
2018,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,1,success,246
2018,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,0,missing_after_exact_contract,4
2018,short_put_spread_25delta_10delta_30d,strict_exact_contract,0,0,build_standard_book_failed,1
2019,atm_straddle_30d,robust_all,1,1,success,252
2019,atm_straddle_30d,strict_exact_contract,1,1,success,181
2019,atm_straddle_30d,strict_exact_contract,1,0,missing_after_exact_contract,71
2019,risk_reversal_25d_30d,robust_all,1,1,success,252
2019,risk_reversal_25d_30d,strict_exact_contract,1,1,success,252
2019,short_put_spread_25delta_10delta_30d,robust_all,1,1,success,252
2019,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,1,success,251
2019,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,0,missing_after_exact_contract,1
2020,atm_straddle_30d,robust_all,1,1,success,253
2020,atm_straddle_30d,strict_exact_contract,1,1,success,239
2020,atm_straddle_30d,strict_exact_contract,1,0,missing_after_exact_contract,14
2020,risk_reversal_25d_30d,robust_all,1,1,success,253
2020,risk_reversal_25d_30d,strict_exact_contract,1,1,success,251
2020,risk_reversal_25d_30d,strict_exact_contract,1,0,missing_after_exact_contract,2
2020,short_put_spread_25delta_10delta_30d,robust_all,1,1,success,251
2020,short_put_spread_25delta_10delta_30d,robust_all,0,0,build_standard_book_failed,2
2020,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,1,success,250
2020,short_put_spread_25delta_10delta_30d,strict_exact_contract,0,0,build_standard_book_failed,2
2020,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,0,missing_after_exact_contract,1
2021,atm_straddle_30d,robust_all,1,1,success,252
2021,atm_straddle_30d,strict_exact_contract,1,1,success,252
2021,risk_reversal_25d_30d,robust_all,1,1,success,252
2021,risk_reversal_25d_30d,strict_exact_contract,1,1,success,252
2021,short_put_spread_25delta_10delta_30d,robust_all,1,1,success,252
2021,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,1,success,252
2022,atm_straddle_30d,robust_all,1,1,success,251
2022,atm_straddle_30d,strict_exact_contract,1,1,success,209
2022,atm_straddle_30d,strict_exact_contract,1,0,missing_after_exact_contract,42
2022,risk_reversal_25d_30d,robust_all,1,1,success,251
2022,risk_reversal_25d_30d,strict_exact_contract,1,1,success,244
2022,risk_reversal_25d_30d,strict_exact_contract,1,0,missing_after_exact_contract,7
2022,short_put_spread_25delta_10delta_30d,robust_all,1,1,success,223
2022,short_put_spread_25delta_10delta_30d,robust_all,0,0,build_standard_book_failed,28
2022,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,1,success,210
2022,short_put_spread_25delta_10delta_30d,strict_exact_contract,0,0,build_standard_book_failed,28
2022,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,0,missing_after_exact_contract,13
2023,atm_straddle_30d,robust_all,1,1,success,194
2023,atm_straddle_30d,robust_all,0,0,build_standard_book_failed,56
2023,atm_straddle_30d,strict_exact_contract,1,1,success,118
2023,atm_straddle_30d,strict_exact_contract,1,0,missing_after_exact_contract,76
2023,atm_straddle_30d,strict_exact_contract,0,0,build_standard_book_failed,56
2023,risk_reversal_25d_30d,robust_all,1,1,success,195
2023,risk_reversal_25d_30d,robust_all,0,0,build_standard_book_failed,55
2023,risk_reversal_25d_30d,strict_exact_contract,1,1,success,142
2023,risk_reversal_25d_30d,strict_exact_contract,0,0,build_standard_book_failed,55
2023,risk_reversal_25d_30d,strict_exact_contract,1,0,missing_after_exact_contract,53
2023,short_put_spread_25delta_10delta_30d,robust_all,0,0,build_standard_book_failed,248
2023,short_put_spread_25delta_10delta_30d,robust_all,1,1,success,2
2023,short_put_spread_25delta_10delta_30d,strict_exact_contract,0,0,build_standard_book_failed,248
2023,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,0,missing_after_exact_contract,1
2023,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,1,success,1
2024,atm_straddle_30d,robust_all,0,0,build_standard_book_failed,128
2024,atm_straddle_30d,robust_all,1,1,success,124
2024,atm_straddle_30d,strict_exact_contract,0,0,build_standard_book_failed,128
2024,atm_straddle_30d,strict_exact_contract,1,1,success,66
2024,atm_straddle_30d,strict_exact_contract,1,0,missing_after_exact_contract,58
2024,risk_reversal_25d_30d,robust_all,1,1,success,134
2024,risk_reversal_25d_30d,robust_all,0,0,build_standard_book_failed,118
2024,risk_reversal_25d_30d,strict_exact_contract,0,0,build_standard_book_failed,118
2024,risk_reversal_25d_30d,strict_exact_contract,1,1,success,87
2024,risk_reversal_25d_30d,strict_exact_contract,1,0,missing_after_exact_contract,47
2024,short_put_spread_25delta_10delta_30d,robust_all,0,0,build_standard_book_failed,243
2024,short_put_spread_25delta_10delta_30d,robust_all,1,1,success,9
2024,short_put_spread_25delta_10delta_30d,strict_exact_contract,0,0,build_standard_book_failed,243
2024,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,0,missing_after_exact_contract,7
2024,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,1,success,2
2025,atm_straddle_30d,robust_all,1,1,success,159
2025,atm_straddle_30d,robust_all,0,0,build_standard_book_failed,5
