asset_ticker,asset_secid,experiment_id,experiment_group,book_type,n_backtest_days,target_exceedance_alpha,empirical_exceedance_rate_base,empirical_exceedance_rate_hist,empirical_exceedance_rate_ewma,empirical_exceedance_rate_caviar,empirical_exceedance_rate_garch_t,empirical_exceedance_rate_conf,avg_loss_norm,avg_q_hat_base_raw,avg_q_hat_ref,avg_q_hat_core_op,avg_q_hat_rep,avg_q_hat_base,avg_q_hat_hist,avg_q_hat_ewma,avg_q_hat_caviar,avg_q_hat_garch_t,avg_buffer_t,avg_var_conf_raw,avg_var_conf,avg_violation_base,avg_violation_hist,avg_violation_ewma,avg_violation_caviar,avg_violation_garch_t,avg_violation_conf,avg_pinball_base,avg_pinball_hist,avg_pinball_ewma,avg_pinball_caviar,avg_pinball_garch_t,avg_pinball_conf,avg_threshold_base,avg_threshold_hist,avg_threshold_conf,quality_strict_pass_share,p95_book_quality_max_abs_k_t,p95_book_quality_max_abs_dte_error_t,avg_gross_spot_hedge_notional_t,avg_normalizer_t,avg_option_net_delta_pre_hedge_t,avg_abs_option_net_delta_pre_hedge_t,avg_abs_book_net_delta_t,avg_stock_hedge_weight_t,max_roll50_exceed_base,max_roll50_exceed_hist,max_roll50_exceed_ewma,max_roll50_exceed_caviar,max_roll50_exceed_garch_t,max_roll50_exceed_conf,avg_n_option_mark_fallback_t,sum_option_mark_exact_t,sum_option_mark_contract_t,sum_option_mark_interp_t,sum_option_mark_nearest_t,n_buffer_fallback_unweighted,n_buffer_fallback_prev,n_buffer_fallback_default,n_q_hat_base_raw_neg,n_q_hat_ref_neg,n_q_hat_core_op_neg,n_q_hat_rep_neg,n_q_hat_base_neg,n_var_conf_raw_neg,n_var_conf_neg,n_q_hat_base_floor_applied,n_var_conf_floor_applied,n_route_a_changed,base_model_kind_requested,base_model_kind_used,marking_mode,book_quality_mode,var_floor_value,normalization_rule,crisis_n_days,crisis_exceedance_rate_base,crisis_exceedance_rate_hist,crisis_exceedance_rate_ewma,crisis_exceedance_rate_caviar,crisis_exceedance_rate_garch_t,crisis_exceedance_rate_conf,crisis_avg_violation_conf,crisis_avg_var_conf
QQQ,107899,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,atm_straddle_30d,374,0.1,0.21390374331550802,0.18716577540106952,,,,0.13101604278074866,0.0014716199676038794,0.08762508483634406,0.08762508483634406,0.10768737203126853,0.10768737203126853,0.08762508483634406,0.08865614991243116,,,,0.020062287194924484,0.10768737203126853,0.10768737203126853,0.008860446481593752,0.010008572697967132,,,,0.005499453477865833,0.017475792968467765,0.01872702569244986,,,,0.016121028684232295,0.08762508483634406,0.08865614991243116,0.10768737203126853,1.0,0.010218555832253153,2.0,0.0,20.98254010695187,-0.31821148395721927,0.31872632352941177,0.31872632352941177,0.0,0.34,0.36,,,,0.25,0.029411764705882353,737,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,lightgbm,lightgbm,robust_all,strict_economic,0.0,gross_option_premium,0,,,,,,,,
QQQ,107899,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,risk_reversal_25d_30d,1005,0.1,0.18507462686567164,0.09353233830845771,,,,0.10646766169154229,-0.0034410574181879686,0.025479386557683305,0.02549780793161478,0.039513714866856495,0.03951371655355117,0.02549780793161478,0.040262532094575657,,,,0.014015906935241722,0.039513714866856495,0.03951371655355117,0.004199539875335582,0.0023425057933112265,,,,0.002396598457099523,0.007093426410315856,0.006712864744587588,,,,0.006692075854273435,0.02549780793161478,0.040262532094575657,0.03951371655355117,1.0,0.32101680392297266,2.0,138.3962538815821,5.886353233830846,0.5011416189054727,0.5011416189054727,0.0,-0.5011416189054727,0.34,0.22,,,,0.2,0.005970149253731343,2004,0,1,5,0,0,11,11,0,1,0,0,1,0,11,1,11,lightgbm,lightgbm,robust_all,strict_economic,0.0,gross_option_premium,38,0.23684210526315788,0.23684210526315788,,,,0.18421052631578946,0.010368454695953837,0.06743910229861254
QQQ,107899,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,short_put_spread_25delta_10delta_30d,958,0.1,0.17640918580375783,0.09812108559498957,,,,0.10334029227557412,-0.0009691785429700729,0.027296044735347923,0.02731887696781361,0.04403117020417956,0.04404890624168774,0.02731887696781361,0.03867507601499068,,,,0.01671229323636595,0.04403117020417956,0.04404890624168774,0.005455335333182864,0.0035554636018488273,,,,0.0033259065552448644,0.00828414088426123,0.007519889057644901,,,,0.007827715033710644,0.02731887696781361,0.03867507601499068,0.04404890624168774,1.0,0.3329931382657767,2.0,40.430902772400835,4.790396659707725,0.14654387578288097,0.14654387578288097,0.0,-0.14654387578288097,0.3,0.3,,,,0.2,0.009394572025052192,1907,0,0,9,0,0,11,10,0,2,0,0,2,0,10,2,10,lightgbm,lightgbm,robust_all,strict_economic,0.0,gross_option_premium,36,0.2222222222222222,0.3055555555555556,,,,0.1388888888888889,0.00825643772454381,0.08327500307989814
QQQ,107899,learner_gbr_robust_all_floor_0p0_quality_loose,learner_robustness,atm_straddle_30d,1484,0.1,0.22574123989218328,0.1293800539083558,,,,0.10983827493261455,0.0677538513848775,0.18148669105385304,0.18148669105385304,0.23945750424389683,0.23945750424389683,0.18148669105385304,0.26538423426259033,,,,0.0579708131900438,0.23945750424389683,0.23945750424389683,0.014784023596450382,0.011288017650104645,,,,0.005046367315581613,0.026157307563347935,0.031051055937875927,,,,0.022216732601483546,0.18148669105385304,0.26538423426259033,0.23945750424389683,0.41509433962264153,0.3383685467563011,2.0,0.0,26.224383423180594,-0.6245031347708896,0.624632885444744,0.624632885444744,0.0,0.42,0.36,,,,0.24,0.2553908355795148,2589,0,26,353,0,0,11,0,0,0,0,0,0,0,0,0,0,gbr,gbr,robust_all,loose,0.0,gross_option_premium,39,0.1282051282051282,0.05128205128205128,,,,0.07692307692307693,0.005684823644248854,0.2373910803669785
QQQ,107899,learner_gbr_robust_all_floor_0p0_quality_loose,learner_robustness,risk_reversal_25d_30d,1497,0.1,0.1683366733466934,0.10420841683366733,,,,0.10821643286573146,-0.015819181508646293,0.030635015045782487,0.03070942267729338,0.04359216545564468,0.04360773146061593,0.03070942267729338,0.04053479377017352,,,,0.012882742778351292,0.04359216545564468,0.04360773146061593,0.005955082671375346,0.0050028900595697,,,,0.00438013441018455,0.010607943089969313,0.01063828758745168,,,,0.010322825707110772,0.03070942267729338,0.04053479377017352,0.04360773146061593,0.6720106880427522,0.3495701495226154,2.0,224.39662111462928,12.040360721442887,0.639327788243153,0.639327788243153,0.0,-0.639327788243153,0.32,0.32,,,,0.24,0.09619238476953908,2850,0,6,138,0,0,11,23,0,14,0,0,14,0,23,14,12,gbr,gbr,robust_all,loose,0.0,gross_option_premium,39,0.15384615384615385,0.23076923076923078,,,,0.1282051282051282,0.008055969793427811,0.06412349121335627
QQQ,107899,learner_gbr_robust_all_floor_0p0_quality_loose,learner_robustness,short_put_spread_25delta_10delta_30d,988,0.1,0.17307692307692307,0.0951417004048583,,,,0.09817813765182186,-0.0016204427297337222,0.02693874344969548,0.02696578087756814,0.04218879097464635,0.042188895066986434,0.02696578087756814,0.038581529516748536,,,,0.0152230100970782,0.04218879097464635,0.042188895066986434,0.005214761527650408,0.0034523762749833465,,,,0.00335513402472673,0.008073383888380595,0.007472573499631571,,,,0.007736067804398745,0.02696578087756814,0.038581529516748536,0.042188895066986434,0.9696356275303644,0.3432908190422072,2.0,39.4532555212247,5.8799949392712545,0.14269299898785426,0.14291846255060728,0.0,-0.14269299898785426,0.3,0.3,,,,0.22,0.03137651821862348,1945,0,1,30,0,0,11,9,0,1,0,0,1,0,9,1,8,gbr,gbr,robust_all,loose,0.0,gross_option_premium,38,0.15789473684210525,0.2894736842105263,,,,0.15789473684210525,0.006933159968105938,0.09534399681228047
QQQ,107899,learner_xgboost_robust_all_floor_0p0_quality_loose,learner_robustness,atm_straddle_30d,1484,0.1,0.21159029649595687,0.1293800539083558,,,,0.10646900269541779,0.0677538513848775,0.186395952575953,0.186395952575953,0.23902982434747416,0.23902982434747416,0.186395952575953,0.26538423426259033,,,,0.05263387177152114,0.23902982434747416,0.23902982434747416,0.013463684799892045,0.011288017650104645,,,,0.004834831330510735,0.025327894918999595,0.031051055937875927,,,,0.0219624286267704,0.186395952575953,0.26538423426259033,0.23902982434747416,0.41509433962264153,0.3383685467563011,2.0,0.0,26.224383423180594,-0.6245031347708896,0.624632885444744,0.624632885444744,0.0,0.44,0.36,,,,0.22,0.2553908355795148,2589,0,26,353,0,0,11,0,0,0,0,0,0,0,0,0,0,xgboost,xgboost,robust_all,loose,0.0,gross_option_premium,39,0.1282051282051282,0.05128205128205128,,,,0.07692307692307693,0.0044536715306080525,0.2458934706766577
QQQ,107899,learner_xgboost_robust_all_floor_0p0_quality_loose,learner_robustness,risk_reversal_25d_30d,1497,0.1,0.156312625250501,0.10420841683366733,,,,0.11088844355377421,-0.015819181508646293,0.03636013643308925,0.03641517172084154,0.046227587657489584,0.04625295849996776,0.03641517172084154,0.04053479377017352,,,,0.009812415936648031,0.046227587657489584,0.04625295849996776,0.005422469879944258,0.0050028900595697,,,,0.004265078971159736,0.010645905202893042,0.01063828758745168,,,,0.010472292972021138,0.03641517172084154,0.04053479377017352,0.04625295849996776,0.6720106880427522,0.3495701495226154,2.0,224.39662111462928,12.040360721442887,0.639327788243153,0.639327788243153,0.0,-0.639327788243153,0.34,0.32,,,,0.22,0.09619238476953908,2850,0,6,138,0,0,11,28,0,18,0,0,18,0,28,18,18,xgboost,xgboost,robust_all,loose,0.0,gross_option_premium,39,0.15384615384615385,0.23076923076923078,,,,0.1282051282051282,0.006222813425358262,0.07154405903842728
QQQ,107899,learner_xgboost_robust_all_floor_0p0_quality_loose,learner_robustness,short_put_spread_25delta_10delta_30d,988,0.1,0.15991902834008098,0.0951417004048583,,,,0.09919028340080972,-0.0016204427297337222,0.029936973768617686,0.02994676259808521,0.04355460171237451,0.04357153152263892,0.02994676259808521,0.038581529516748536,,,,0.013607839114289299,0.04355460171237451,0.04357153152263892,0.004858098876768276,0.0034523762749833465,,,,0.003314523428222168,0.008014819409550168,0.007472573499631571,,,,0.007833720853459432,0.02994676259808521,0.038581529516748536,0.04357153152263892,0.9696356275303644,0.3432908190422072,2.0,39.4532555212247,5.8799949392712545,0.14269299898785426,0.14291846255060728,0.0,-0.14269299898785426,0.3,0.3,,,,0.24,0.03137651821862348,1945,0,1,30,0,0,11,2,0,2,0,0,2,0,2,2,2,xgboost,xgboost,robust_all,loose,0.0,gross_option_premium,38,0.18421052631578946,0.2894736842105263,,,,0.15789473684210525,0.004963194741082384,0.10604611518023944
QQQ,107899,main_lightgbm_robust_all_floor_0p0_quality_loose,main,atm_straddle_30d,1484,0.1,0.2210242587601078,0.1293800539083558,0.10849056603773585,0.11994609164420485,0.11859838274932614,0.10579514824797843,0.0677538513848775,0.18149716445685296,0.18151015561530068,0.23734626201456224,0.23734626201456224,0.18151015561530068,0.26538423426259033,0.2722778668467177,0.2701981646443509,0.25227432948197653,0.055836106399261606,0.23734626201456224,0.23734626201456224,0.014393109798320845,0.011288017650104645,0.007304873123743297,0.009500433846428465,0.012455719708748767,0.004949351561944895,0.025768740221363162,0.031051055937875927,0.027757274669927317,0.029744865172375803,0.030907767518458664,0.02190859262491337,0.18151015561530068,0.26538423426259033,0.23734626201456224,0.41509433962264153,0.3383685467563011,2.0,0.0,26.224383423180594,-0.6245031347708896,0.624632885444744,0.624632885444744,0.0,0.42,0.36,0.22,0.38,0.36,0.22,0.2553908355795148,2589,0,26,353,0,0,11,2,0,0,0,0,0,0,2,0,2,lightgbm,lightgbm,robust_all,loose,0.0,gross_option_premium,39,0.15384615384615385,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.07692307692307693,0.003588201568343372,0.24215220056484818
