book_type,method,method_suffix,n_backtest_days,target_exceedance_alpha,empirical_exceedance_rate,exceedance_gap,abs_exceedance_gap,avg_violation,avg_violation_per_exceedance,avg_pinball_loss,max_roll50_exceedance,crisis_n_days,crisis_exceedance_rate,avg_threshold,std_threshold,p05_threshold,p95_threshold,book_quality_mode
atm_straddle_30d,Historical VaR,hist,1077,0.1,0.10306406685236769,0.0030640668523676806,0.0030640668523676806,0.009336888084034352,0.09059304924779277,0.026003690400700413,0.28,32,0.15625,0.12443205239946589,0.03962150901442689,0.06910487004826875,0.18765549837733594,loose
atm_straddle_30d,EWMA Historical VaR,ewma,1077,0.1,0.10584958217270195,0.005849582172701942,0.005849582172701942,0.007768838156235946,0.07339507626549223,0.02567853890753125,0.22,32,0.15625,0.13686103674575834,0.07779794655938672,0.060564291541252965,0.2975325074229548,loose
atm_straddle_30d,CAViaR,caviar,1077,0.1,0.1021355617455896,0.002135561745589598,0.002135561745589598,0.00858140022289279,0.08401970945505031,0.026517639330227542,0.28,32,0.03125,0.1371264203061528,0.06904470919971432,0.06979637139368372,0.2689373626830076,loose
atm_straddle_30d,GARCH-t VaR,garch_t,1077,0.1,0.06778087279480037,-0.032219127205199635,0.032219127205199635,0.007223844588520566,0.10657644687447465,0.028216184282081776,0.24,32,0.0,0.16768742616841736,0.10320960726172164,0.08728340947416235,0.3539079811630484,loose
atm_straddle_30d,LightGBM Quantile,base,1077,0.1,0.19498607242339833,0.09498607242339832,0.09498607242339832,0.013212611542982469,0.06776182205615294,0.0268210847333112,0.32,32,0.15625,0.09384876113609257,0.07319060573766374,0.02319256097300298,0.20659984119751604,loose
atm_straddle_30d,LightGBM + Calibration,conf,1077,0.1,0.11142061281337047,0.011420612813370465,0.011420612813370465,0.00729372426182569,0.06546117524988557,0.02534568507568881,0.24,32,0.125,0.13828363737143648,0.09907731598101167,0.04981765152492124,0.30496860074742943,loose
risk_reversal_25d_30d,Historical VaR,hist,1106,0.1,0.11482820976491863,0.014828209764918623,0.014828209764918623,0.062228743183879005,0.5419290548139384,0.0984613367240246,0.42,32,0.125,0.10435630744475612,0.2063860972563581,0.012293731197356201,0.591471441950622,loose
risk_reversal_25d_30d,EWMA Historical VaR,ewma,1106,0.1,0.10307414104882459,0.0030741410488245857,0.0030741410488245857,0.04595432002242839,0.44583752583162983,0.09238724730331069,0.28,32,0.125,0.20635964485212308,0.4365945387015027,0.0025861659807938277,1.1965094534402543,loose
risk_reversal_25d_30d,CAViaR,caviar,1106,0.1,0.10940325497287523,0.009403254972875225,0.009403254972875225,0.058433331877757635,0.5341096285685946,0.09536519573533081,0.34,32,0.125,0.11134901061903177,0.22935372100151188,0.004404448104315874,0.7208231370959606,loose
risk_reversal_25d_30d,GARCH-t VaR,garch_t,1106,0.1,0.07685352622061482,-0.023146473779385182,0.023146473779385182,0.07011662657413256,0.9123410469528308,0.11277203420314845,0.42,32,0.09375,0.16858444833345906,0.32109757239085257,0.04542471021063002,0.6560584147414814,loose
risk_reversal_25d_30d,LightGBM Quantile,base,1106,0.1,0.16998191681735986,0.06998191681735985,0.06998191681735985,0.0461957083503614,0.27176836933776444,0.08481732156888655,0.3,32,0.125,0.12824650422855127,0.3412782336650152,0.0,0.8214539525262207,loose
risk_reversal_25d_30d,LightGBM + Calibration,conf,1106,0.1,0.09855334538878843,-0.001446654611211573,0.001446654611211573,0.039745750205426124,0.4032917406165256,0.08500190421820901,0.22,32,0.125,0.194591912171129,0.44539016570581264,0.0015771491954024216,1.2159469768518063,loose
short_put_spread_25delta_10delta_30d,Historical VaR,hist,978,0.1,0.09611451942740286,-0.003885480572597147,0.003885480572597147,0.003297934208331079,0.034312549529231864,0.010142668548428452,0.26,34,0.20588235294117646,0.03185126267758404,0.00611046759791372,0.023131782491197975,0.0426080595837055,loose
short_put_spread_25delta_10delta_30d,EWMA Historical VaR,ewma,978,0.1,0.10122699386503067,0.0012269938650306678,0.0012269938650306678,0.0033170649989826655,0.032768581505101486,0.009985574705731913,0.26,34,0.17647058823529413,0.03008901634410281,0.014726201185514954,0.007069168921774871,0.05006749723533363,loose
short_put_spread_25delta_10delta_30d,CAViaR,caviar,978,0.1,0.09611451942740286,-0.003885480572597147,0.003885480572597147,0.003396182071499969,0.035334745382201806,0.010050165043349964,0.22,34,0.20588235294117646,0.029943748995110268,0.012759432022884041,0.0020090136806804578,0.04557681778796413,loose
short_put_spread_25delta_10delta_30d,GARCH-t VaR,garch_t,978,0.1,0.07259713701431493,-0.027402862985685075,0.027402862985685075,0.0028142643402389285,0.03876550034864327,0.011042201570754036,0.28,34,0.23529411764705882,0.04568329158176138,0.03175953513498332,0.02997738549919256,0.1044895940201256,loose
short_put_spread_25delta_10delta_30d,LightGBM Quantile,base,978,0.1,0.147239263803681,0.047239263803680986,0.047239263803680986,0.004636099537205386,0.03148684269018658,0.010325294004106068,0.36,34,0.23529411764705882,0.020295863945617137,0.01779029817236054,0.0,0.053845251470597676,loose
short_put_spread_25delta_10delta_30d,LightGBM + Calibration,conf,978,0.1,0.1083844580777096,0.0083844580777096,0.0083844580777096,0.003385429079201959,0.031235373957165247,0.010184553504243394,0.26,34,0.14705882352941177,0.03139516352702469,0.02092868453004137,0.0035166199730499097,0.07147015389878285,loose
pooled,Historical VaR,hist,3161,0.1,0.10503005378044923,0.005030053780449226,0.005030053780449226,0.02597475421816607,0.24730782555308117,0.04644851085690876,0.42,98,0.16326530612244897,0.08876366066649864,0.13027170366608573,0.013862116144011784,0.18869738439101527,loose
