experiment_group,experiment_id,book_quality_mode,book_type,n_backtest_days,strict_quality_pass_share,median_max_abs_k,p90_max_abs_k,p95_max_abs_k,median_max_abs_dte_error,p95_max_abs_dte_error,median_atm_max_abs_k,p95_atm_max_abs_k,median_rr_max_delta_error,p95_rr_max_delta_error,median_putspread_max_delta_error,p95_putspread_max_delta_error,empirical_exceedance_rate_conf,avg_pinball_conf,avg_threshold_conf
book_quality_robustness,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,strict_economic,atm_straddle_30d,682,1.0,0.001064002498756895,0.026674060944971583,0.0369427272833138,1.0,2.0,0.001064002498756895,0.0369427272833138,,,,,0.10703812316715543,0.020116399564140165,0.10803666062578493
book_quality_robustness,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,strict_economic,risk_reversal_25d_30d,623,1.0,0.08240015760151334,0.14682335545369418,0.17280162947006228,1.0,2.0,,,0.006002000000000007,0.053307399999999956,,,0.10754414125200643,0.08522095740962222,0.06865620256821163
book_quality_robustness,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,strict_economic,short_put_spread_25delta_10delta_30d,830,1.0,0.09116576704917023,0.17450081209097146,0.19281891391525277,1.0,2.0,,,,,0.0030174999999999924,0.05332084999999991,0.10722891566265061,0.011348147075888987,0.035108344133430947
learner_robustness,learner_gbr_robust_all_floor_0p0_quality_loose,loose,atm_straddle_30d,1077,0.7103064066852368,0.007137238581237612,0.15300267948450846,0.1825731075080695,1.0,2.0,0.007137238581237612,0.1825731075080695,,,,,0.1095636025998143,0.02469779820489659,0.1310604347164029
learner_robustness,learner_gbr_robust_all_floor_0p0_quality_loose,loose,risk_reversal_25d_30d,1106,0.5886075949367089,0.09881134787492836,0.19849711075585003,0.19930443708640544,1.0,5.0,,,0.017999,0.7282087500000001,,,0.1057866184448463,0.0860358089038889,0.2069380012703238
learner_robustness,learner_gbr_robust_all_floor_0p0_quality_loose,loose,short_put_spread_25delta_10delta_30d,978,0.8619631901840491,0.09688766574475977,0.1884390708563312,0.1980466300126392,1.0,2.0,,,,,0.0037549999999999875,0.8708333,0.10531697341513292,0.010034718574650886,0.030373951552645002
learner_robustness,learner_xgboost_robust_all_floor_0p0_quality_loose,loose,atm_straddle_30d,1077,0.7103064066852368,0.007137238581237612,0.15300267948450846,0.1825731075080695,1.0,2.0,0.007137238581237612,0.1825731075080695,,,,,0.10677808727948004,0.024622833163905632,0.13371352831305514
learner_robustness,learner_xgboost_robust_all_floor_0p0_quality_loose,loose,risk_reversal_25d_30d,1106,0.5886075949367089,0.09881134787492836,0.19849711075585003,0.19930443708640544,1.0,5.0,,,0.017999,0.7282087500000001,,,0.10849909584086799,0.08813034619200821,0.24439449653959217
learner_robustness,learner_xgboost_robust_all_floor_0p0_quality_loose,loose,short_put_spread_25delta_10delta_30d,978,0.8619631901840491,0.09688766574475977,0.1884390708563312,0.1980466300126392,1.0,2.0,,,,,0.0037549999999999875,0.8708333,0.10531697341513292,0.010136478931271488,0.03213163889173994
main,main_lightgbm_robust_all_floor_0p0_quality_loose,loose,atm_straddle_30d,1077,0.7103064066852368,0.007137238581237612,0.15300267948450846,0.1825731075080695,1.0,2.0,0.007137238581237612,0.1825731075080695,,,,,0.11142061281337047,0.02534568507568881,0.13828363737143648
main,main_lightgbm_robust_all_floor_0p0_quality_loose,loose,risk_reversal_25d_30d,1106,0.5886075949367089,0.09881134787492836,0.19849711075585003,0.19930443708640544,1.0,5.0,,,0.017999,0.7282087500000001,,,0.09855334538878843,0.08500190421820901,0.194591912171129
main,main_lightgbm_robust_all_floor_0p0_quality_loose,loose,short_put_spread_25delta_10delta_30d,978,0.8619631901840491,0.09688766574475977,0.1884390708563312,0.1980466300126392,1.0,2.0,,,,,0.0037549999999999875,0.8708333,0.1083844580777096,0.010184553504243394,0.03139516352702469
marking_sensitivity,marking_lightgbm_strict_exact_contract_floor_0p0_quality_loose,loose,atm_straddle_30d,835,0.7676646706586826,0.00378420204155488,0.1051835232195145,0.1650179521463728,1.0,2.0,0.00378420204155488,0.1650179521463728,,,,,0.10658682634730539,0.014635585709648903,0.10856977817344285
marking_sensitivity,marking_lightgbm_strict_exact_contract_floor_0p0_quality_loose,loose,risk_reversal_25d_30d,750,0.628,0.09845481919052501,0.19782667085269265,0.19921691608339492,1.0,2.0,,,0.012234999999999996,0.72001265,,,0.1,0.005392441414264341,0.026926997012061082
marking_sensitivity,marking_lightgbm_strict_exact_contract_floor_0p0_quality_loose,loose,short_put_spread_25delta_10delta_30d,784,0.8660714285714286,0.09462185433363367,0.17974414362529112,0.19534488599056707,1.0,2.0,,,,,0.003462999999999994,0.22347939999999855,0.09821428571428571,0.007288410969141419,0.03824866214639474
var_floor_sensitivity,floor_lightgbm_robust_all_none_quality_loose,loose,atm_straddle_30d,1077,0.7103064066852368,0.007137238581237612,0.15300267948450846,0.1825731075080695,1.0,2.0,0.007137238581237612,0.1825731075080695,,,,,0.11142061281337047,0.025344026335373415,0.13826704996828254
var_floor_sensitivity,floor_lightgbm_robust_all_none_quality_loose,loose,risk_reversal_25d_30d,1106,0.5886075949367089,0.09881134787492836,0.19849711075585003,0.19930443708640544,1.0,5.0,,,0.017999,0.7282087500000001,,,0.10488245931283906,0.08504589706288991,0.19728589118568243
var_floor_sensitivity,floor_lightgbm_robust_all_none_quality_loose,loose,short_put_spread_25delta_10delta_30d,978,0.8619631901840491,0.09688766574475977,0.1884390708563312,0.1980466300126392,1.0,2.0,,,,,0.0037549999999999875,0.8708333,0.1165644171779141,0.010192434454471494,0.03169934496584371
