year,stage,n_raw,n_after_stage,share_of_raw,dropped_at_stage,drop_rate_from_prev
2018,underlying,3281168,3281168,1.0,0,0.0
2018,date_exdate_ok,3281168,3281168,1.0,0,0.0
2018,cp_ok,3281168,3281168,1.0,0,0.0
2018,spot_ok,3281168,3281168,1.0,0,0.0
2018,dte_window,3281168,2025027,0.6171665089992344,1256141,0.3828334910007656
2018,bid_positive,3281168,1967426,0.5996114798145051,57601,0.02844455901081813
2018,offer_gt_bid,3281168,1967426,0.5996114798145051,0,0.0
2018,mid_gt_min,3281168,1967426,0.5996114798145051,0,0.0
2018,forward_ok,3281168,1967426,0.5996114798145051,0,0.0
2018,k_window,3281168,1035255,0.31551417056365294,932171,0.4738023183591149
2018,iv_positive,3281168,997327,0.3039548721674721,37928,0.03663638427247393
2018,spread_ok,3281168,968947,0.2953055131587288,28380,0.028456063056550157
2018,activity_ok,3281168,687529,0.2095378840705505,281418,0.2904369382432682
2019,underlying,3566107,3566107,1.0,0,0.0
2019,date_exdate_ok,3566107,3566107,1.0,0,0.0
2019,cp_ok,3566107,3566107,1.0,0,0.0
2019,spot_ok,3566107,3566107,1.0,0,0.0
2019,dte_window,3566107,2164118,0.6068572816239108,1401989,0.3931427183760891
2019,bid_positive,3566107,2078280,0.5827867756071257,85838,0.03966419576012029
2019,offer_gt_bid,3566107,2078279,0.5827864951892918,1,4.811671189637585e-07
2019,mid_gt_min,3566107,2078279,0.5827864951892918,0,0.0
2019,forward_ok,3566107,2078279,0.5827864951892918,0,0.0
2019,k_window,3566107,1145364,0.3211804917799718,932915,0.44888823877833534
2019,iv_positive,3566107,1113797,0.3123285420207526,31567,0.027560670668887795
2019,spread_ok,3566107,1093131,0.3065334270676679,20666,0.018554548090899868
2019,activity_ok,3566107,782933,0.21954837586196937,310198,0.28377019771646766
2020,underlying,4282047,4282047,1.0,0,0.0
2020,date_exdate_ok,4282047,4282047,1.0,0,0.0
2020,cp_ok,4282047,4282047,1.0,0,0.0
2020,spot_ok,4282047,4282047,1.0,0,0.0
2020,dte_window,4282047,2451836,0.572585027674848,1830211,0.42741497232515197
2020,bid_positive,4282047,2382413,0.5563724545760473,69423,0.028314699678118765
2020,offer_gt_bid,4282047,2382413,0.5563724545760473,0,0.0
2020,mid_gt_min,4282047,2382413,0.5563724545760473,0,0.0
2020,forward_ok,4282047,2382413,0.5563724545760473,0,0.0
2020,k_window,4282047,1011548,0.2362300086850985,1370865,0.5754103087919685
2020,iv_positive,4282047,1002095,0.23402241965116216,9453,0.009345082981727017
2020,spread_ok,4282047,997880,0.2330380773494546,4215,0.004206188036064445
2020,activity_ok,4282047,754739,0.1762565894302421,243141,0.24365755401451075
2021,underlying,5151559,5151559,1.0,0,0.0
2021,date_exdate_ok,5151559,5151559,1.0,0,0.0
2021,cp_ok,5151559,5151559,1.0,0,0.0
2021,spot_ok,5151559,5151559,1.0,0,0.0
2021,dte_window,5151559,2702708,0.5246388520445947,2448851,0.47536114795540535
2021,bid_positive,5151559,2602057,0.5051008830530719,100651,0.03724079700803786
2021,offer_gt_bid,5151559,2602056,0.5051006889370772,1,3.843113352244013e-07
2021,mid_gt_min,5151559,2602056,0.5051006889370772,0,0.0
2021,forward_ok,5151559,2602056,0.5051006889370772,0,0.0
2021,k_window,5151559,1329405,0.25805877405267025,1272651,0.4890943930491888
2021,iv_positive,5151559,1319809,0.2561960369666736,9596,0.007218266818614342
2021,spread_ok,5151559,1316354,0.2555253662046771,3455,0.0026178030305900324
2021,activity_ok,5151559,977774,0.18980157268896658,338580,0.25721044643006363
2022,underlying,4961482,4961482,1.0,0,0.0
2022,date_exdate_ok,4961482,4961482,1.0,0,0.0
2022,cp_ok,4961482,4961482,1.0,0,0.0
2022,spot_ok,4961482,4961482,1.0,0,0.0
2022,dte_window,4961482,2575323,0.5190632556965842,2386159,0.4809367443034158
2022,bid_positive,4961482,2487090,0.5012796579731621,88233,0.03426094513193102
2022,offer_gt_bid,4961482,2487090,0.5012796579731621,0,0.0
2022,mid_gt_min,4961482,2487090,0.5012796579731621,0,0.0
2022,forward_ok,4961482,2487090,0.5012796579731621,0,0.0
2022,k_window,4961482,1053098,0.2122547255033879,1433992,0.5765742293202095
2022,iv_positive,4961482,1030884,0.20777743424242998,22214,0.02109395326930637
2022,spread_ok,4961482,1022407,0.2060688721635995,8477,0.008223039643645649
2022,activity_ok,4961482,829280,0.16714360749469614,193127,0.18889444223288768
2023,underlying,4770586,4770586,1.0,0,0.0
2023,date_exdate_ok,4770586,4770586,1.0,0,0.0
2023,cp_ok,4770586,4770586,1.0,0,0.0
2023,spot_ok,4770586,4770586,1.0,0,0.0
2023,dte_window,4770586,2535044,0.5313904832655778,2235542,0.46860951673442214
2023,bid_positive,4770586,2447091,0.5129539641461238,87953,0.034694861312071903
2023,offer_gt_bid,4770586,2447091,0.5129539641461238,0,0.0
2023,mid_gt_min,4770586,2447091,0.5129539641461238,0,0.0
2023,forward_ok,4770586,2447091,0.5129539641461238,0,0.0
2023,k_window,4770586,196600,0.041210870111135195,2250491,0.9196597102437138
2023,iv_positive,4770586,183585,0.03848269374034972,13015,0.06620040691759918
2023,spread_ok,4770586,173820,0.03643577539530783,9765,0.05319062014870496
2023,activity_ok,4770586,141741,0.029711444254437506,32079,0.18455298584742838
2024,underlying,5889228,5889228,1.0,0,0.0
2024,date_exdate_ok,5889228,5889228,1.0,0,0.0
2024,cp_ok,5889228,5889228,1.0,0,0.0
2024,spot_ok,5889228,5889228,1.0,0,0.0
2024,dte_window,5889228,3088048,0.5243553144826453,2801180,0.4756446855173547
2024,bid_positive,5889228,3016261,0.5121657711333302,71787,0.023246724144184286
2024,offer_gt_bid,5889228,3016151,0.5121470929636278,110,3.646899257060314e-05
2024,mid_gt_min,5889228,3016151,0.5121470929636278,0,0.0
2024,forward_ok,5889228,3016151,0.5121470929636278,0,0.0
2024,k_window,5889228,110694,0.01879601197304638,2905457,0.9632995828126643
2024,iv_positive,5889228,96214,0.016337285634042357,14480,0.13081106473702278
2024,spread_ok,5889228,85748,0.014560142687632402,10466,0.10877834826532522
2024,activity_ok,5889228,59656,0.010129680834228187,26092,0.3042869804543546
2025,underlying,4066473,4066473,1.0,0,0.0
2025,date_exdate_ok,4066473,4066473,1.0,0,0.0
2025,cp_ok,4066473,4066473,1.0,0,0.0
