year,book_type,marking_mode,build_ok,mark_ok,reason,n
2018,atm_straddle_30d,robust_all,1,1,success,247
2018,atm_straddle_30d,robust_all,0,0,build_standard_book_failed,3
2018,atm_straddle_30d,robust_all,1,0,missing_option_mark,1
2018,atm_straddle_30d,strict_exact_contract,1,1,success,205
2018,atm_straddle_30d,strict_exact_contract,1,0,missing_after_exact_contract,43
2018,atm_straddle_30d,strict_exact_contract,0,0,build_standard_book_failed,3
2018,risk_reversal_25d_30d,robust_all,1,1,success,248
2018,risk_reversal_25d_30d,robust_all,0,0,build_standard_book_failed,2
2018,risk_reversal_25d_30d,robust_all,1,0,missing_option_mark,1
2018,risk_reversal_25d_30d,strict_exact_contract,1,1,success,215
2018,risk_reversal_25d_30d,strict_exact_contract,1,0,missing_after_exact_contract,34
2018,risk_reversal_25d_30d,strict_exact_contract,0,0,build_standard_book_failed,2
2018,short_put_spread_25delta_10delta_30d,robust_all,1,1,success,233
2018,short_put_spread_25delta_10delta_30d,robust_all,0,0,build_standard_book_failed,18
2018,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,1,success,201
2018,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,0,missing_after_exact_contract,32
2018,short_put_spread_25delta_10delta_30d,strict_exact_contract,0,0,build_standard_book_failed,18
2019,atm_straddle_30d,robust_all,1,1,success,249
2019,atm_straddle_30d,robust_all,0,0,build_standard_book_failed,3
2019,atm_straddle_30d,strict_exact_contract,1,1,success,229
2019,atm_straddle_30d,strict_exact_contract,1,0,missing_after_exact_contract,20
2019,atm_straddle_30d,strict_exact_contract,0,0,build_standard_book_failed,3
2019,risk_reversal_25d_30d,robust_all,1,1,success,250
2019,risk_reversal_25d_30d,robust_all,0,0,build_standard_book_failed,2
2019,risk_reversal_25d_30d,strict_exact_contract,1,1,success,238
2019,risk_reversal_25d_30d,strict_exact_contract,1,0,missing_after_exact_contract,12
2019,risk_reversal_25d_30d,strict_exact_contract,0,0,build_standard_book_failed,2
2019,short_put_spread_25delta_10delta_30d,robust_all,1,1,success,244
2019,short_put_spread_25delta_10delta_30d,robust_all,0,0,build_standard_book_failed,8
2019,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,1,success,225
