asset_ticker,asset_secid,experiment_id,experiment_group,book_type,n_backtest_days,target_exceedance_alpha,empirical_exceedance_rate_base,empirical_exceedance_rate_hist,empirical_exceedance_rate_ewma,empirical_exceedance_rate_caviar,empirical_exceedance_rate_garch_t,empirical_exceedance_rate_conf,avg_loss_norm,avg_q_hat_base_raw,avg_q_hat_ref,avg_q_hat_core_op,avg_q_hat_rep,avg_q_hat_base,avg_q_hat_hist,avg_q_hat_ewma,avg_q_hat_caviar,avg_q_hat_garch_t,avg_buffer_t,avg_var_conf_raw,avg_var_conf,avg_violation_base,avg_violation_hist,avg_violation_ewma,avg_violation_caviar,avg_violation_garch_t,avg_violation_conf,avg_pinball_base,avg_pinball_hist,avg_pinball_ewma,avg_pinball_caviar,avg_pinball_garch_t,avg_pinball_conf,avg_threshold_base,avg_threshold_hist,avg_threshold_conf,quality_strict_pass_share,p95_book_quality_max_abs_k_t,p95_book_quality_max_abs_dte_error_t,avg_gross_spot_hedge_notional_t,avg_normalizer_t,avg_option_net_delta_pre_hedge_t,avg_abs_option_net_delta_pre_hedge_t,avg_abs_book_net_delta_t,avg_stock_hedge_weight_t,max_roll50_exceed_base,max_roll50_exceed_hist,max_roll50_exceed_ewma,max_roll50_exceed_caviar,max_roll50_exceed_garch_t,max_roll50_exceed_conf,avg_n_option_mark_fallback_t,sum_option_mark_exact_t,sum_option_mark_contract_t,sum_option_mark_interp_t,sum_option_mark_nearest_t,n_buffer_fallback_unweighted,n_buffer_fallback_prev,n_buffer_fallback_default,n_q_hat_base_raw_neg,n_q_hat_ref_neg,n_q_hat_core_op_neg,n_q_hat_rep_neg,n_q_hat_base_neg,n_var_conf_raw_neg,n_var_conf_neg,n_q_hat_base_floor_applied,n_var_conf_floor_applied,n_route_a_changed,base_model_kind_requested,base_model_kind_used,marking_mode,book_quality_mode,var_floor_value,normalization_rule,crisis_n_days,crisis_exceedance_rate_base,crisis_exceedance_rate_hist,crisis_exceedance_rate_ewma,crisis_exceedance_rate_caviar,crisis_exceedance_rate_garch_t,crisis_exceedance_rate_conf,crisis_avg_violation_conf,crisis_avg_var_conf
SPX,,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,atm_straddle_30d,682,0.1,0.2155425219941349,0.10997067448680352,,,,0.10703812316715543,-0.04556277134340555,0.07580158073129589,0.07583966697253458,0.10803666062578493,0.10803666062578493,0.07583966697253458,0.11085693603401661,,,,0.03219699365325036,0.10803666062578493,0.10803666062578493,0.009444820929022907,0.005964730157626556,,,,0.004756456367221119,0.021585064760616918,0.021606700895368768,,,,0.020116399564140165,0.07583966697253458,0.11085693603401661,0.10803666062578493,1.0,0.0369427272833138,2.0,0.0,314.62038123167156,0.2793003313782991,0.5902748885630499,0.5902748885630499,0.0,0.36,0.3,,,,0.2,0.24193548387096775,1199,1,3,161,0,0,11,4,0,0,0,0,0,0,4,0,4,lightgbm,lightgbm,robust_all,strict_economic,0.0,gross_option_premium,30,0.1,0.16666666666666666,,,,0.1,0.0027455121087439196,0.252463590951672
SPX,,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,risk_reversal_25d_30d,623,0.1,0.1958266452648475,0.10272873194221509,,,,0.10754414125200643,-0.38429411234138633,0.053617729959394976,0.05478153845328945,0.06865620256821163,0.06865620256821163,0.05478153845328945,0.03991144087412552,,,,0.013874664114922185,0.06865620256821163,0.06865620256821163,0.0419680769884631,0.04795013541001611,,,,0.03992592591866244,0.08587564206793066,0.09037069073156728,,,,0.08522095740962222,0.05478153845328945,0.03991144087412552,0.06865620256821163,1.0,0.17280162947006228,2.0,1810.8296518983468,56.18667736757624,0.5040273483146068,0.5040273483146068,0.0,-0.5040273483146068,0.32,0.38,,,,0.22,0.28892455858747995,1066,0,0,180,0,0,11,103,0,0,0,0,0,0,103,0,103,lightgbm,lightgbm,robust_all,strict_economic,0.0,gross_option_premium,13,0.23076923076923078,0.23076923076923078,,,,0.23076923076923078,0.01871918211835318,0.059080325353814495
SPX,,bookquality_lightgbm_robust_all_floor_0p0_quality_strict_economic,book_quality_robustness,short_put_spread_25delta_10delta_30d,830,0.1,0.1686746987951807,0.09759036144578313,,,,0.10722891566265061,-0.039814770687354145,0.019491512316481895,0.01998043445713516,0.0350963757435318,0.035108344133430947,0.01998043445713516,0.03325364172566135,,,,0.015115941286396636,0.0350963757435318,0.035108344133430947,0.005606755444605617,0.003590745481448055,,,,0.0038558355938104784,0.011586275959054544,0.010897586722749604,,,,0.011348147075888987,0.01998043445713516,0.03325364172566135,0.035108344133430947,1.0,0.19281891391525277,2.0,530.2783966567952,48.89632530120482,0.14428893855421687,0.14428893855421687,0.0,-0.14428893855421687,0.34,0.24,,,,0.28,0.19518072289156627,1498,0,2,160,0,0,11,79,0,2,0,0,2,0,79,2,79,lightgbm,lightgbm,robust_all,strict_economic,0.0,gross_option_premium,24,0.20833333333333334,0.2916666666666667,,,,0.20833333333333334,0.012555215561789306,0.07614232298257384
SPX,,learner_gbr_robust_all_floor_0p0_quality_loose,learner_robustness,atm_straddle_30d,1077,0.1,0.1959145775301764,0.10306406685236769,,,,0.1095636025998143,-0.042235970767194785,0.09183111757138787,0.09183111757138787,0.1310604347164029,0.1310604347164029,0.09183111757138787,0.12443205239946589,,,,0.03922931714501505,0.1310604347164029,0.1310604347164029,0.012633320709090245,0.009336888084034352,,,,0.0073681576565368225,0.026040029542948505,0.026003690400700413,,,,0.02469779820489659,0.09183111757138787,0.12443205239946589,0.1310604347164029,0.7103064066852368,0.1825731075080695,2.0,0.0,320.38590993500463,-0.026528004642525548,0.6377367158774373,0.6377367158774373,0.0,0.32,0.28,,,,0.22,0.3166202414113278,1813,7,22,312,0,0,11,0,0,0,0,0,0,0,0,0,0,gbr,gbr,robust_all,loose,0.0,gross_option_premium,32,0.1875,0.15625,,,,0.125,0.007222082005434794,0.2008724956429653
SPX,,learner_gbr_robust_all_floor_0p0_quality_loose,learner_robustness,risk_reversal_25d_30d,1106,0.1,0.1654611211573237,0.11482820976491863,,,,0.1057866184448463,-0.2579696279567,0.13675798909277373,0.13881825590640248,0.20691940796287298,0.2069380012703238,0.13881825590640248,0.10435630744475612,,,,0.0681011520564705,0.20691940796287298,0.2069380012703238,0.04676889653658715,0.062228743183879005,,,,0.039545045981186536,0.08644768492289738,0.0984613367240246,,,,0.0860358089038889,0.13881825590640248,0.10435630744475612,0.2069380012703238,0.5886075949367089,0.19930443708640544,5.0,2670.2169700642403,169.21717902350815,0.6719705424954792,0.6719705424954792,0.0,-0.6719705424954792,0.36,0.42,,,,0.24,0.41952983725135623,1748,1,12,451,0,0,11,294,0,22,0,0,22,0,294,22,273,gbr,gbr,robust_all,loose,0.0,gross_option_premium,32,0.125,0.125,,,,0.125,0.015442114352778457,0.08770991943973352
SPX,,learner_gbr_robust_all_floor_0p0_quality_loose,learner_robustness,short_put_spread_25delta_10delta_30d,978,0.1,0.1441717791411043,0.09611451942740286,,,,0.10531697341513292,-0.0365960807233897,0.019770975747872167,0.020166090340996375,0.030356814106031416,0.030373951552645002,0.020166090340996375,0.03185126267758404,,,,0.010190723765035046,0.030356814106031416,0.030373951552645002,0.004449843527674072,0.003297934208331079,,,,0.003337715347047418,0.010126060634112677,0.010142668548428452,,,,0.010034718574650886,0.020166090340996375,0.03185126267758404,0.030373951552645002,0.8619631901840491,0.1980466300126392,2.0,461.91643006160535,156.88461145194273,0.12585984764826177,0.12615923210633948,0.0,-0.12585984764826177,0.32,0.26,,,,0.24,0.22085889570552147,1740,0,3,213,0,0,11,82,0,17,0,0,17,0,82,17,70,gbr,gbr,robust_all,loose,0.0,gross_option_premium,34,0.17647058823529413,0.20588235294117646,,,,0.14705882352941177,0.010570293769248122,0.05512822320661605
SPX,,learner_xgboost_robust_all_floor_0p0_quality_loose,learner_robustness,atm_straddle_30d,1077,0.1,0.17734447539461468,0.10306406685236769,,,,0.10677808727948004,-0.042235970767194785,0.09734911685541424,0.09734911685541424,0.13371352831305514,0.13371352831305514,0.09734911685541424,0.12443205239946589,,,,0.036364411457640904,0.13371352831305514,0.13371352831305514,0.01162646051066702,0.009336888084034352,,,,0.007027883255880638,0.025584969272927922,0.026003690400700413,,,,0.024622833163905632,0.09734911685541424,0.12443205239946589,0.13371352831305514,0.7103064066852368,0.1825731075080695,2.0,0.0,320.38590993500463,-0.026528004642525548,0.6377367158774373,0.6377367158774373,0.0,0.32,0.28,,,,0.2,0.3166202414113278,1813,7,22,312,0,0,11,0,0,0,0,0,0,0,0,0,0,xgboost,xgboost,robust_all,loose,0.0,gross_option_premium,32,0.15625,0.15625,,,,0.15625,0.005573632546532859,0.2054236473532023
SPX,,learner_xgboost_robust_all_floor_0p0_quality_loose,learner_robustness,risk_reversal_25d_30d,1106,0.1,0.14828209764918626,0.11482820976491863,,,,0.10849909584086799,-0.2579696279567,0.19107834475126578,0.19297267690168093,0.2442810272043265,0.24439449653959217,0.19297267690168093,0.10435630744475612,,,,0.051308350302645536,0.2442810272043265,0.24439449653959217,0.04294922777669135,0.062228743183879005,,,,0.037893933742379024,0.08804345826252942,0.0984613367240246,,,,0.08813034619200821,0.19297267690168093,0.10435630744475612,0.24439449653959217,0.5886075949367089,0.19930443708640544,5.0,2670.2169700642403,169.21717902350815,0.6719705424954792,0.6719705424954792,0.0,-0.6719705424954792,0.32142857142857145,0.42,,,,0.23076923076923078,0.41952983725135623,1748,1,12,451,0,0,11,275,0,88,0,0,88,0,275,88,197,xgboost,xgboost,robust_all,loose,0.0,gross_option_premium,32,0.125,0.125,,,,0.125,0.014771404904114053,0.10658699745853803
SPX,,learner_xgboost_robust_all_floor_0p0_quality_loose,learner_robustness,short_put_spread_25delta_10delta_30d,978,0.1,0.13803680981595093,0.09611451942740286,,,,0.10531697341513292,-0.0365960807233897,0.02195884830258385,0.022372400878252298,0.03207658072645903,0.03213163889173994,0.022372400878252298,0.03185126267758404,,,,0.00970417984820673,0.03207658072645903,0.03213163889173994,0.004353077637658126,0.003297934208331079,,,,0.003263706969758526,0.010249925797822324,0.010142668548428452,,,,0.010136478931271488,0.022372400878252298,0.03185126267758404,0.03213163889173994,0.8619631901840491,0.1980466300126392,2.0,461.91643006160535,156.88461145194273,0.12585984764826177,0.12615923210633948,0.0,-0.12585984764826177,0.28,0.26,,,,0.22,0.22085889570552147,1740,0,3,213,0,0,11,79,0,23,0,0,23,0,79,23,66,xgboost,xgboost,robust_all,loose,0.0,gross_option_premium,34,0.17647058823529413,0.20588235294117646,,,,0.14705882352941177,0.012025173365091166,0.05854426023133582
SPX,,main_lightgbm_robust_all_floor_0p0_quality_loose,main,atm_straddle_30d,1077,0.1,0.19498607242339833,0.10306406685236769,0.10584958217270195,0.1021355617455896,0.06778087279480037,0.11142061281337047,-0.042235970767194785,0.09383217373293863,0.09384876113609257,0.13828363737143648,0.13828363737143648,0.09384876113609257,0.12443205239946589,0.13686103674575834,0.1371264203061528,0.16768742616841736,0.044434876235343895,0.13828363737143648,0.13828363737143648,0.013212611542982469,0.009336888084034352,0.007768838156235946,0.00858140022289279,0.007223844588520566,0.00729372426182569,0.0268210847333112,0.026003690400700413,0.02567853890753125,0.026517639330227542,0.028216184282081776,0.02534568507568881,0.09384876113609257,0.12443205239946589,0.13828363737143648,0.7103064066852368,0.1825731075080695,2.0,0.0,320.38590993500463,-0.026528004642525548,0.6377367158774373,0.6377367158774373,0.0,0.32,0.28,0.22,0.28,0.24,0.24,0.3166202414113278,1813,7,22,312,0,0,11,2,0,0,0,0,0,0,2,0,2,lightgbm,lightgbm,robust_all,loose,0.0,gross_option_premium,32,0.15625,0.15625,0.15625,0.03125,0.0,0.125,0.007348845733787999,0.20307301449815934
