date,days,rate
2020-01-02,14,0.015
2020-01-02,30,0.015
2020-01-02,60,0.015
2020-01-02,90,0.015
2020-01-02,120,0.015
2020-01-03,14,0.015
2020-01-03,30,0.015
2020-01-03,60,0.015
2020-01-03,90,0.015
2020-01-03,120,0.015
2020-01-06,14,0.015
2020-01-06,30,0.015
2020-01-06,60,0.015
2020-01-06,90,0.015
2020-01-06,120,0.015
2020-01-07,14,0.015
2020-01-07,30,0.015
2020-01-07,60,0.015
2020-01-07,90,0.015
2020-01-07,120,0.015
2020-01-08,14,0.015
2020-01-08,30,0.015
2020-01-08,60,0.015
2020-01-08,90,0.015
2020-01-08,120,0.015
