Market,Method,Exceedance,Average violation,Pinball loss,Average VaR,Max 50-day exceedance
SPX,Historical VaR,0.1050300537804492,0.025974754218166,0.0464485108569087,0.0887636606664986,0.42
SPX,EWMA Historical VaR,0.1034482758620689,0.0197521689997079,0.0441638639617458,0.1281430438994502,0.28
SPX,CAViaR,0.1028155646947168,0.0244197719591213,0.0455116942278795,0.094945316966654,0.34
SPX,GARCH-t VaR,0.0724454286618158,0.0278650490786399,0.0524878119065744,0.1302537225584163,0.42
SPX,LightGBM Quantile,0.1714647263524201,0.0220995069328309,0.0420096183008479,0.0831272079592416,0.36
SPX,LightGBM + Calibration,0.1059791205314773,0.0174391301476264,0.0415279665355919,0.1249144581587269,0.26
QQQ,Historical VaR,0.1113630637440161,0.0069669166973078,0.0174825361924562,0.1241192595319177,0.36
QQQ,EWMA Historical VaR,0.1043083900226757,0.0052999786245993,0.0161720543967569,0.1276838223020085,0.26
QQQ,CAViaR,0.108728557013118,0.0061862329436533,0.0169986947468401,0.1271189330469178,0.38
QQQ,GARCH-t VaR,0.1075837742504409,0.0073305723448589,0.0176273061173582,0.1219304023054265,0.36
QQQ,LightGBM Quantile,0.1909800957420005,0.0090039579613508,0.0156953441239459,0.0858769262063839,0.42
QQQ,LightGBM + Calibration,0.1063240110859158,0.0043097073390783,0.0140100601911179,0.1159665931008285,0.22
